movie_id,title,runtime_minutes,genres,average_rating,num_votes,release_date,production_budget,domestic_gross,worldwide_gross,studio,year,roi_domestic,roi_worldwide
tt3322940,Annabelle,99.0,Horror,5.4,122039,2014-10-03,6500000,84273813,256862920,WB (NL),2014,12.965202,39.517372307692305
tt3322940,Annabelle,99.0,Mystery,5.4,122039,2014-10-03,6500000,84273813,256862920,WB (NL),2014,12.965202,39.517372307692305
tt3322940,Annabelle,99.0,Thriller,5.4,122039,2014-10-03,6500000,84273813,256862920,WB (NL),2014,12.965202,39.517372307692305
tt3332064,Pan,111.0,Adventure,5.8,55867,2015-10-09,150000000,35088320,151525973,WB,2015,0.23392213333333334,1.0101731533333334
tt3332064,Pan,111.0,Comedy,5.8,55867,2015-10-09,150000000,35088320,151525973,WB,2015,0.23392213333333334,1.0101731533333334
tt3332064,Pan,111.0,Family,5.8,55867,2015-10-09,150000000,35088320,151525973,WB,2015,0.23392213333333334,1.0101731533333334
tt3348730,Jigsaw,92.0,Crime,5.8,57184,2017-10-27,10000000,38052832,102445196,LGF,2017,3.8052832,10.2445196
tt3348730,Jigsaw,92.0,Horror,5.8,57184,2017-10-27,10000000,38052832,102445196,LGF,2017,3.8052832,10.2445196
tt3348730,Jigsaw,92.0,Mystery,5.8,57184,2017-10-27,10000000,38052832,102445196,LGF,2017,3.8052832,10.2445196
tt3367294,Compadres,101.0,Action,4.7,876,2016-04-22,3000000,3127773,7445044,PNT,2016,1.042591,2.4816813333333334
tt3367294,Compadres,101.0,Comedy,4.7,876,2016-04-22,3000000,3127773,7445044,PNT,2016,1.042591,2.4816813333333334
tt3367294,Compadres,101.0,Crime,4.7,876,2016-04-22,3000000,3127773,7445044,PNT,2016,1.042591,2.4816813333333334
tt3371366,Transformers: The Last Knight,154.0,Action,5.2,119007,2017-06-21,217000000,130168683,602893340,Par.,2017,0.5998556820276497,2.778310322580645
tt3371366,Transformers: The Last Knight,154.0,Adventure,5.2,119007,2017-06-21,217000000,130168683,602893340,Par.,2017,0.5998556820276497,2.778310322580645
tt3371366,Transformers: The Last Knight,154.0,Sci-Fi,5.2,119007,2017-06-21,217000000,130168683,602893340,Par.,2017,0.5998556820276497,2.778310322580645
tt3381008,The Brothers Grimsby,83.0,Action,6.2,82123,2016-03-11,35000000,6864016,28720470,Sony,2016,0.19611474285714287,0.8205848571428571
tt3381008,The Brothers Grimsby,83.0,Adventure,6.2,82123,2016-03-11,35000000,6864016,28720470,Sony,2016,0.19611474285714287,0.8205848571428571
tt3381008,The Brothers Grimsby,83.0,Comedy,6.2,82123,2016-03-11,35000000,6864016,28720470,Sony,2016,0.19611474285714287,0.8205848571428571
tt3385516,X-Men: Apocalypse,144.0,Action,7.0,356556,2016-05-27,178000000,155442489,542537546,Fox,2016,0.8732724101123596,3.047963741573034
tt3385516,X-Men: Apocalypse,144.0,Adventure,7.0,356556,2016-05-27,178000000,155442489,542537546,Fox,2016,0.8732724101123596,3.047963741573034
tt3385516,X-Men: Apocalypse,144.0,Sci-Fi,7.0,356556,2016-05-27,178000000,155442489,542537546,Fox,2016,0.8732724101123596,3.047963741573034
tt3393786,Jack Reacher: Never Go Back,118.0,Action,6.1,121892,2016-10-21,60000000,58697076,159946489,Par.,2016,0.9782846,2.6657748166666666
tt3393786,Jack Reacher: Never Go Back,118.0,Thriller,6.1,121892,2016-10-21,60000000,58697076,159946489,Par.,2016,0.9782846,2.6657748166666666
tt3397884,Sicario,121.0,Action,7.6,328548,2015-09-18,30000000,46889293,84393749,LGF,2015,1.5629764333333334,2.8131249666666664
tt3397884,Sicario,121.0,Crime,7.6,328548,2015-09-18,30000000,46889293,84393749,LGF,2015,1.5629764333333334,2.8131249666666664
tt3397884,Sicario,121.0,Drama,7.6,328548,2015-09-18,30000000,46889293,84393749,LGF,2015,1.5629764333333334,2.8131249666666664
tt3401882,Fist Fight,91.0,Comedy,5.6,35136,2017-02-17,25000000,32187017,40286416,WB (NL),2017,1.28748068,1.61145664
tt3411444,Ferdinand,108.0,Adventure,6.7,40229,2017-12-15,111000000,84410380,289847930,Fox,2017,0.7604538738738739,2.6112426126126125
tt3411444,Ferdinand,108.0,Animation,6.7,40229,2017-12-15,111000000,84410380,289847930,Fox,2017,0.7604538738738739,2.6112426126126125
tt3411444,Ferdinand,108.0,Comedy,6.7,40229,2017-12-15,111000000,84410380,289847930,Fox,2017,0.7604538738738739,2.6112426126126125
tt3416532,A Monster Calls,108.0,Animation,7.5,70416,2017-01-06,43000000,3740823,46414530,Focus,2016,0.08699588372093023,1.0794076744186047
tt3416532,A Monster Calls,108.0,Drama,7.5,70416,2017-01-06,43000000,3740823,46414530,Focus,2016,0.08699588372093023,1.0794076744186047
tt3416532,A Monster Calls,108.0,Fantasy,7.5,70416,2017-01-06,43000000,3740823,46414530,Focus,2016,0.08699588372093023,1.0794076744186047
tt3416828,Ice Age: Collision Course,94.0,Adventure,5.7,48932,2016-07-22,105000000,64063008,402156682,Fox,2016,0.6101238857142857,3.830063638095238
tt3416828,Ice Age: Collision Course,94.0,Animation,5.7,48932,2016-07-22,105000000,64063008,402156682,Fox,2016,0.6101238857142857,3.830063638095238
tt3416828,Ice Age: Collision Course,94.0,Comedy,5.7,48932,2016-07-22,105000000,64063008,402156682,Fox,2016,0.6101238857142857,3.830063638095238
tt3450650,Paul Blart: Mall Cop 2,94.0,Action,4.4,30828,2015-04-17,38000000,71091594,107650646,Sony,2015,1.8708314210526316,2.8329117368421053
tt3450650,Paul Blart: Mall Cop 2,94.0,Comedy,4.4,30828,2015-04-17,38000000,71091594,107650646,Sony,2015,1.8708314210526316,2.8329117368421053
tt3450650,Paul Blart: Mall Cop 2,94.0,Crime,4.4,30828,2015-04-17,38000000,71091594,107650646,Sony,2015,1.8708314210526316,2.8329117368421053
tt3450958,War for the Planet of the Apes,140.0,Action,7.5,201943,2017-07-14,152000000,146880162,489592267,Fox,2017,0.9663168552631579,3.2210017565789473
tt3450958,War for the Planet of the Apes,140.0,Adventure,7.5,201943,2017-07-14,152000000,146880162,489592267,Fox,2017,0.9663168552631579,3.2210017565789473
tt3450958,War for the Planet of the Apes,140.0,Drama,7.5,201943,2017-07-14,152000000,146880162,489592267,Fox,2017,0.9663168552631579,3.2210017565789473
tt3460252,The Hateful Eight,168.0,Crime,7.8,434966,2015-12-25,62000000,54117416,147864886,Wein.,2015,0.8728615483870967,2.384917516129032
tt3460252,The Hateful Eight,168.0,Drama,7.8,434966,2015-12-25,62000000,54117416,147864886,Wein.,2015,0.8728615483870967,2.384917516129032
tt3460252,The Hateful Eight,168.0,Mystery,7.8,434966,2015-12-25,62000000,54117416,147864886,Wein.,2015,0.8728615483870967,2.384917516129032
tt3469046,Despicable Me 3,89.0,Adventure,6.3,92580,2017-06-30,75000000,264624300,1034727750,Uni.,2017,3.528324,13.79637
tt3469046,Despicable Me 3,89.0,Animation,6.3,92580,2017-06-30,75000000,264624300,1034727750,Uni.,2017,3.528324,13.79637
tt3469046,Despicable Me 3,89.0,Comedy,6.3,92580,2017-06-30,75000000,264624300,1034727750,Uni.,2017,3.528324,13.79637
tt3470600,Sing,108.0,Animation,7.1,115951,2016-12-21,75000000,270329045,634454789,Uni.,2016,3.6043872666666665,8.459397186666667
tt3470600,Sing,108.0,Comedy,7.1,115951,2016-12-21,75000000,270329045,634454789,Uni.,2016,3.6043872666666665,8.459397186666667
tt3470600,Sing,108.0,Family,7.1,115951,2016-12-21,75000000,270329045,634454789,Uni.,2016,3.6043872666666665,8.459397186666667
tt3480796,Vice,96.0,Action,4.2,14436,2018-12-25,60000000,47836282,70883171,Annapurna,2018,0.7972713666666666,1.1813861833333332
tt3480796,Vice,96.0,Adventure,4.2,14436,2018-12-25,60000000,47836282,70883171,Annapurna,2018,0.7972713666666666,1.1813861833333332
tt3480796,Vice,96.0,Sci-Fi,4.2,14436,2018-12-25,60000000,47836282,70883171,Annapurna,2018,0.7972713666666666,1.1813861833333332
tt6266538,Vice,132.0,Biography,7.2,72855,2018-12-25,60000000,47836282,70883171,Annapurna,2018,0.7972713666666666,1.1813861833333332
tt6266538,Vice,132.0,Comedy,7.2,72855,2018-12-25,60000000,47836282,70883171,Annapurna,2018,0.7972713666666666,1.1813861833333332
tt6266538,Vice,132.0,Drama,7.2,72855,2018-12-25,60000000,47836282,70883171,Annapurna,2018,0.7972713666666666,1.1813861833333332
tt3486626,The Nut Job 2: Nutty by Nature,91.0,Adventure,5.5,4820,2017-08-11,40000000,28370522,57438389,ORF,2017,0.70926305,1.435959725
tt3486626,The Nut Job 2: Nutty by Nature,91.0,Animation,5.5,4820,2017-08-11,40000000,28370522,57438389,ORF,2017,0.70926305,1.435959725
tt3486626,The Nut Job 2: Nutty by Nature,91.0,Comedy,5.5,4820,2017-08-11,40000000,28370522,57438389,ORF,2017,0.70926305,1.435959725
tt3498820,Captain America: Civil War,147.0,Action,7.8,583507,2016-05-06,250000000,408084349,1140069413,BV,2016,1.632337396,4.560277652
tt3498820,Captain America: Civil War,147.0,Adventure,7.8,583507,2016-05-06,250000000,408084349,1140069413,BV,2016,1.632337396,4.560277652
tt3498820,Captain America: Civil War,147.0,Sci-Fi,7.8,583507,2016-05-06,250000000,408084349,1140069413,BV,2016,1.632337396,4.560277652
tt3501632,Thor: Ragnarok,130.0,Action,7.9,482995,2017-11-03,180000000,315058289,846980024,BV,2017,1.7503238277777777,4.705444577777778
tt3501632,Thor: Ragnarok,130.0,Adventure,7.9,482995,2017-11-03,180000000,315058289,846980024,BV,2017,1.7503238277777777,4.705444577777778
tt3501632,Thor: Ragnarok,130.0,Comedy,7.9,482995,2017-11-03,180000000,315058289,846980024,BV,2017,1.7503238277777777,4.705444577777778
tt3521126,The Disaster Artist,104.0,Biography,7.4,111737,2017-12-01,10000000,21120616,28717667,A24,2017,2.1120616,2.8717667
tt3521126,The Disaster Artist,104.0,Comedy,7.4,111737,2017-12-01,10000000,21120616,28717667,A24,2017,2.1120616,2.8717667
tt3521126,The Disaster Artist,104.0,Drama,7.4,111737,2017-12-01,10000000,21120616,28717667,A24,2017,2.1120616,2.8717667
tt3521164,Moana,107.0,Adventure,7.6,224253,2016-11-23,150000000,248757044,637517365,BV,2016,1.6583802933333334,4.250115766666666
tt3521164,Moana,107.0,Animation,7.6,224253,2016-11-23,150000000,248757044,637517365,BV,2016,1.6583802933333334,4.250115766666666
